Board 0x64000000, Board number = 0
format module = (Layer,u,v,index_STC),fraction of 1/16
Number of Ptts = 480
Number CEH modules = 95, Number CEH scintilators = 60

/* out0000_had-eta0-phi0*/	0, 
/* out0001_had-eta1-phi0*/	1, (47,4,0,0), 2, 
/* out0002_had-eta2-phi0*/	2, (47,4,0,0), 14, (47,4,0,1), 11, 
/* out0003_had-eta3-phi0*/	2, (47,3,0,0), 13, (47,4,0,1), 5, 
/* out0004_had-eta4-phi0*/	5, (34,10,2,1), 1, (34,9,1,0), 1, (34,9,1,2), 5, (47,3,0,0), 3, (47,3,0,1), 13, 
/* out0005_had-eta5-phi0*/	6, (34,9,2,2), 1, (34,9,1,0), 13, (34,9,1,1), 11, (34,9,1,2), 11, (47,2,0,0), 15, (47,3,0,1), 3, 
/* out0006_had-eta6-phi0*/	7, (34,9,2,1), 1, (34,8,1,0), 9, (34,8,1,1), 3, (34,8,1,2), 16, (34,9,1,1), 5, (47,2,0,0), 1, (47,2,0,1), 15, 
/* out0007_had-eta7-phi0*/	7, (34,7,1,0), 2, (34,7,1,2), 12, (34,8,1,0), 2, (34,8,1,1), 13, (47,1,0,0), 16, (47,1,0,1), 1, (47,2,0,1), 1, 
/* out0008_had-eta8-phi0*/	5, (34,7,1,0), 6, (34,7,1,1), 9, (34,7,1,2), 4, (47,1,0,1), 15, (47,1,0,2), 1, 
/* out0009_had-eta9-phi0*/	4, (34,6,1,0), 1, (34,6,1,2), 11, (34,7,1,1), 4, (47,1,0,2), 15, 
/* out0010_had-eta10-phi0*/	4, (34,6,1,0), 2, (34,6,1,1), 9, (34,6,1,2), 2, (47,0,0,0), 14, 
/* out0011_had-eta11-phi0*/	4, (34,5,1,2), 8, (34,6,1,1), 3, (47,0,0,0), 2, (47,0,0,1), 16, 
/* out0012_had-eta12-phi0*/	3, (34,5,1,0), 1, (34,5,1,1), 5, (34,5,1,2), 4, 
/* out0013_had-eta13-phi0*/	2, (34,4,1,2), 2, (34,5,1,1), 6, 
/* out0014_had-eta14-phi0*/	1, (34,4,1,2), 7, 
/* out0015_had-eta15-phi0*/	2, (34,4,1,1), 4, (34,4,1,2), 2, 
/* out0016_had-eta16-phi0*/	2, (34,3,1,1), 1, (34,4,1,1), 6, 
/* out0017_had-eta17-phi0*/	1, (34,3,1,1), 4, 
/* out0018_had-eta18-phi0*/	1, (34,3,1,1), 3, 
/* out0019_had-eta19-phi0*/	0, 
/* out0020_had-eta0-phi1*/	0, 
/* out0021_had-eta1-phi1*/	1, (47,4,0,3), 2, 
/* out0022_had-eta2-phi1*/	2, (47,4,0,2), 11, (47,4,0,3), 14, 
/* out0023_had-eta3-phi1*/	2, (47,3,0,3), 13, (47,4,0,2), 5, 
/* out0024_had-eta4-phi1*/	4, (34,10,2,0), 10, (34,10,2,1), 6, (47,3,0,2), 13, (47,3,0,3), 3, 
/* out0025_had-eta5-phi1*/	7, (34,9,2,0), 5, (34,9,2,2), 15, (34,10,2,0), 3, (34,10,2,1), 9, (34,9,1,0), 2, (47,2,0,3), 15, (47,3,0,2), 3, 
/* out0026_had-eta6-phi1*/	6, (34,8,2,2), 6, (34,9,2,0), 2, (34,9,2,1), 15, (34,8,1,0), 4, (47,2,0,2), 15, (47,2,0,3), 1, 
/* out0027_had-eta7-phi1*/	8, (34,8,2,0), 1, (34,8,2,1), 10, (34,8,2,2), 9, (34,7,1,0), 1, (34,8,1,0), 1, (47,1,0,4), 1, (47,1,0,5), 16, (47,2,0,2), 1, 
/* out0028_had-eta8-phi1*/	5, (34,7,2,2), 9, (34,8,2,1), 3, (34,7,1,0), 7, (47,1,0,3), 1, (47,1,0,4), 15, 
/* out0029_had-eta9-phi1*/	6, (34,7,2,1), 8, (34,7,2,2), 2, (34,6,1,0), 5, (34,6,1,2), 3, (34,7,1,1), 3, (47,1,0,3), 15, 
/* out0030_had-eta10-phi1*/	4, (34,6,2,2), 5, (34,6,1,0), 8, (34,6,1,1), 3, (47,0,0,3), 14, 
/* out0031_had-eta11-phi1*/	7, (34,6,2,1), 3, (34,6,2,2), 1, (34,5,1,0), 4, (34,5,1,2), 4, (34,6,1,1), 1, (47,0,0,2), 16, (47,0,0,3), 2, 
/* out0032_had-eta12-phi1*/	2, (34,5,1,0), 8, (34,5,1,1), 1, 
/* out0033_had-eta13-phi1*/	5, (34,5,2,2), 1, (34,4,1,0), 1, (34,4,1,2), 2, (34,5,1,0), 2, (34,5,1,1), 4, 
/* out0034_had-eta14-phi1*/	2, (34,4,1,0), 4, (34,4,1,2), 2, 
/* out0035_had-eta15-phi1*/	3, (34,4,1,0), 4, (34,4,1,1), 1, (34,4,1,2), 1, 
/* out0036_had-eta16-phi1*/	3, (34,3,1,1), 1, (34,4,1,0), 1, (34,4,1,1), 4, 
